date,team,elo
2019-06-08,Abkhazia,1589.296754189574
2025-10-14,Afghanistan,1268.9723305887055
2026-03-31,Albania,1652.602719433306
2022-04-23,Alderney,1152.1526298607375
2026-06-27,Algeria,1805.2048139080991
2007-06-07,Ambazonia,1441.5702651937415
2026-03-28,American Samoa,1150.168252490659
2013-06-07,Andalusia,1594.405752408376
2026-03-31,Andorra,1203.1409663217405
2025-12-29,Angola,1547.8198033030296
2026-03-29,Anguilla,1082.5023503080674
2025-11-18,Antigua and Barbuda,1235.976554749484
2014-06-08,Arameans Suryoye,1522.7728160012955
2026-06-27,Argentina,2033.1686881078235
2026-03-29,Armenia,1460.9595081011091
2019-06-08,Artsakh,1519.9814106708534
2026-03-29,Aruba,1253.8409713744982
1923-02-25,Asturias,1500.0
2026-06-25,Australia,1805.2304112529475
2026-06-27,Austria,1821.054648366284
2022-06-19,Aymara,1484.3528000084657
2026-03-30,Azerbaijan,1433.5262809080846
2026-03-29,Bahamas,1141.0615580063816
2025-12-09,Bahrain,1509.1049814047822
2026-03-26,Bangladesh,1209.552424526366
2019-05-25,Barawa,1422.2204439172688
2026-03-29,Barbados,1226.9223764248986
2020-11-16,Basque Country,1757.3570377953392
2026-03-29,Belarus,1543.596250649887
2026-06-26,Belgium,1847.8442614071569
2026-03-30,Belize,1337.369445126808
2026-03-31,Benin,1517.225862721009
2026-03-25,Bermuda,1361.7226469635189
2025-11-18,Bhutan,998.6115590077336
2022-05-25,Biafra,1500.6764442558526
2026-03-31,Bolivia,1657.6693871620278
2026-03-29,Bonaire,1282.9347018603191
2026-06-24,Bosnia and Herzegovina,1636.0058959517305
2026-03-31,Botswana,1408.77681433694
2026-06-24,Brazil,1930.0690401690429
2026-03-29,British Virgin Islands,1137.4681568422684
2013-05-28,Brittany,1500.3586162280906
2025-11-18,Brunei,1045.017654381008
2026-03-30,Bulgaria,1534.7256185715569
2026-03-31,Burkina Faso,1646.0495687502146
2025-10-14,Burundi,1419.4759134903254
2025-11-13,Cambodia,1120.314025848722
2026-03-31,Cameroon,1651.512304055443
2026-06-24,Canada,1784.0780455192037
2007-12-29,Canary Islands,1497.8455478587368
2026-06-26,Cape Verde,1646.063149142638
2019-05-25,Cascadia,1519.1468004570886
2019-03-25,Catalonia,1653.5405983546516
2026-03-29,Cayman Islands,1183.5004848592614
2025-10-12,Central African Republic,1379.7114288177872
1923-11-25,Central Spain,1487.1438935222511
2025-11-17,Chad,1281.461395964571
2019-12-29,Chagos Islands,1412.9396083031909
2023-07-01,Chameria,1504.9564698687657
2006-02-18,Chechnya,1487.6129773857924
2026-03-30,Chile,1759.601586167354
2026-03-31,China PR,1540.422705276204
2011-12-29,Cilento,1500.0
2026-06-27,Colombia,1911.4768476243896
2026-03-31,Comoros,1478.130525571132
2025-10-14,Congo,1361.516189414234
2024-09-06,Cook Islands,1292.691295226455
2017-05-26,Corsica,1557.328905200147
2026-03-31,Costa Rica,1682.5296565709568
2015-06-21,County of Nice,1582.4472708251965
2006-11-25,Crimea,1523.2683023373684
2026-06-27,Croatia,1887.46573849334
2026-03-29,Cuba,1410.8894702940072
2026-06-25,Curaçao,1545.0802284861006
2026-03-30,Cyprus,1385.4822632595185
2026-06-24,Czech Republic,1734.1736378060216
1993-11-17,Czechoslovakia,1709.71517640377
2026-06-27,DR Congo,1700.024701220617
2014-06-07,Darfur,1421.3628494176317
2026-03-31,Denmark,1842.255728320332
2025-11-26,Djibouti,1147.5040548097888
2026-03-30,Dominica,1237.7174544378136
2026-03-29,Dominican Republic,1459.2185971988204
2017-08-31,Donetsk PR,1490.1572185011396
2016-08-03,Délvidék,1512.3132804810016
2026-06-25,Ecuador,1874.7891324610464
2026-06-26,Egypt,1744.2748030588098
2026-03-29,El Salvador,1466.6769912574869
2022-07-16,Elba Island,1500.0
2018-06-03,Ellan Vannin,1574.0033659276835
2026-06-27,England,1905.729232564714
2026-03-31,Equatorial Guinea,1461.449373032839
2019-09-10,Eritrea,1262.9057173316478
2026-03-30,Estonia,1447.8337759413369
2025-10-13,Eswatini,1349.3210684202063
2025-10-12,Ethiopia,1410.02876156097
2023-07-13,Falkland Islands,1294.470763277021
2026-03-28,Faroe Islands,1424.656931056336
2017-06-09,Felvidék,1496.0424680021747
2025-11-20,Fiji,1464.8029438076996
2026-03-30,Finland,1578.6991802043187
2026-06-26,France,1987.476410061446
2019-06-25,Franconia,1493.9006536317409
2024-11-19,French Guiana,1419.778758665974
2025-07-17,Frøya,1298.9079203969654
2026-03-30,Gabon,1518.523335174999
2016-05-20,Galicia,1537.4075760632534
2026-03-31,Gambia,1511.7667061409786
2026-03-29,Georgia,1640.6164250277366
1990-09-12,German DR,1682.4764799497475
2026-06-25,Germany,1892.913559562582
2026-06-27,Ghana,1587.559633668159
2025-11-17,Gibraltar,1212.24180422556
2017-06-29,Gotland,1436.546990746493
2025-07-17,Gozo,1474.470816519412
2026-03-31,Greece,1732.5276290565014
2024-06-01,Greenland,1473.013546595171
2026-03-30,Grenada,1331.3046434913708
2025-06-24,Guadeloupe,1502.23600674227
2026-03-28,Guam,1108.456758996116
2026-03-27,Guatemala,1597.5170157508685
2023-07-13,Guernsey,1675.6717466495552
2026-03-31,Guinea,1556.67656142842
2026-03-31,Guinea-Bissau,1366.8578869908954
2026-03-30,Guyana,1457.2122493417749
2006-11-21,Găgăuzia,1460.5890401568745
2026-06-24,Haiti,1629.0849353460717
2025-07-17,Hitra,1382.2087345908865
2023-08-08,Hmong,1493.227567703085
2026-03-31,Honduras,1622.2116990227446
2025-11-18,Hong Kong,1371.6106853239976
2026-03-31,Hungary,1734.1024147211422
2026-03-31,Iceland,1603.2349111898643
2025-11-18,India,1331.3537062366893
2026-03-30,Indonesia,1473.816866854622
2026-06-26,Iran,1804.98088076863
2026-06-26,Iraq,1711.0536717435796
2016-06-04,Iraqi Kurdistan,1594.689499747042
2025-07-18,Isle of Man,1627.5300241733607
2023-07-13,Isle of Wight,1626.7742731713963
2026-03-26,Israel,1626.898206963425
2026-03-31,Italy,1880.9520773475988
2026-06-25,Ivory Coast,1751.1966852866624
2026-03-31,Jamaica,1646.210226234278
